Name,Status,Launch Service Provider,Rocket,Mission,Net,Pad
Atlas LV-3A | MIDAS 4 & Westford-1,Launch Successful,United States Air Force,Atlas Agena B,—,10/21/1961 9:53 a.m.,"Space Launch Complex 3E | Vandenberg SFB, CA, USA"
Thor DM-21 Agena-B | Discoverer 33,Launch Failure,United States Air Force,Thor DM-21 Agena-B,—,10/23/1961 3:23 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Saturn I | Saturn SA-1,Launch Successful,National Aeronautics and Space Administration,Saturn I,Saturn SA-1,10/27/1961 11:06 a.m.,"Launch Complex 34 | Cape Canaveral, FL, USA"
Kosmos-2I 63S1 | Kosmos-2I | DS-1-1,Launch Failure,Strategic Rocket Forces,Kosmos-2I 63S1,—,10/27/1961 12:30 p.m.,"Mayak-2 | Kapustin Yar, Russian Federation"
Blue Scout II | Mercury-Scout 1,Launch Failure,National Aeronautics and Space Administration,Blue Scout II,Mercury-Scout 1,11/01/1961 10:32 a.m.,"Launch Complex 18B | Cape Canaveral, FL, USA"
Thor DM-21 Agena-B | Discoverer 34,Partial Failure,United States Air Force,Thor DM-21 Agena-B,—,11/05/1961 3 p.m.,"Space Launch Complex 2E | Vandenberg SFB, CA, USA"
Thor DM-21 Agena-B | Discoverer 35,Launch Successful,United States Air Force,Thor DM-21 Agena-B,—,11/15/1961 4:23 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Thor DM-21 Ablestar | Transit 4B & TRAAC,Launch Successful,United States Air Force,Thor DM-21 Ablestar,—,11/15/1961 5:26 p.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA"
Atlas LV-3A | Ranger 2,Launch Failure,United States Air Force,Atlas Agena B,—,11/18/1961 3:12 a.m.,"Launch Complex 12 | Cape Canaveral, FL, USA"
Atlas LV-3A | Samos 4,Launch Failure,United States Air Force,Atlas Agena B,—,11/22/1961 3:45 p.m.,"Space Launch Complex 3W | Vandenberg SFB, CA, USA"
Atlas LV-3B | Mercury-Atlas 5,Launch Successful,National Aeronautics and Space Administration,Atlas LV-3B,Mercury-Atlas 5,11/29/1961 10:07 a.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA"
Blue Scout Jr | Blue Scout Jr. O-2,Launch Successful,United States Air Force,Blue Scout Jr,Blue Scout Jr. O-2,12/03/1961 11 p.m.,"Launch Complex A | Vandenberg SFB, CA, USA"
Vostok-K | Zenit-2 1,Launch Failure,Soviet Space Program,Vostok,Zenit-2 1,12/11/1961 4:39 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Thor DM-21 Agena-B | Discoverer 36 & OSCAR 1,Launch Successful,United States Air Force,Thor DM-21 Agena-B,—,12/12/1961 3:40 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Kosmos-2I 63S1 | DS-1 2,Launch Failure,Strategic Rocket Forces,Kosmos-2I 63S1,—,12/21/1961 7:30 a.m.,"Mayak-2 | Kapustin Yar, Russian Federation"
Atlas LV-3A | Samos 5,Partial Failure,United States Air Force,Atlas Agena B,—,12/22/1961 2:12 p.m.,"Space Launch Complex 3E | Vandenberg SFB, CA, USA"
Thor DM-21 Agena-B | Discoverer 37,Launch Failure,United States Air Force,Thor DM-21 Agena-B,Discoverer 37,01/13/1962 4:41 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Thor DM-21 Ablestar | 5 Payloads Rideshare,Launch Failure,United States Air Force,Thor DM-21 Ablestar,5 Payloads Rideshare,01/24/1962 4:30 a.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA"
Atlas Agena B | Ranger 3,Launch Successful,United States Air Force,Atlas Agena B,Ranger 3,01/26/1962 3:30 p.m.,"Launch Complex 12 | Cape Canaveral, FL, USA"
Thor Delta | Tiros 4,Launch Successful,United States Air Force,Thor Delta,Tiros 4,02/08/1962 7:43 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Atlas LV-3B | Mercury-Atlas 6,Launch Successful,National Aeronautics and Space Administration,Atlas LV-3B,Mercury-Atlas 6,02/20/1962 9:47 a.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA"
Thor DM-21 Agena-B | P-102 Group 0-D,Launch Successful,United States Air Force,Thor DM-21 Agena-B,P-102 Group 0-D,02/21/1962 1:44 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Thor DM-21 Agena-B | KH-4 1,Launch Successful,United States Air Force,Thor DM-21 Agena-B,KH-4 1,02/27/1962 2:39 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Thor Delta | OSO 1,Launch Successful,United States Air Force,Thor Delta,OSO 1,03/07/1962 11:06 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Atlas Agena B | Samos 6,Launch Successful,United States Air Force,Atlas Agena B,Samos 6,03/07/1962 5:10 p.m.,"Space Launch Complex 3E | Vandenberg SFB, CA, USA"
Kosmos-2I 63S1 | DS-2 1,Launch Successful,Soviet Space Program,Kosmos-2I 63S1,DS-2 1,03/16/1962 6:59 a.m.,"Mayak-2 | Kapustin Yar, Russian Federation"
Scout X-2 | P-21A,Launch Successful,National Aeronautics and Space Administration,Scout X-2,P-21A,03/29/1962 2:27 a.m.,"Launch Area 3 | Wallops Island, Virginia, USA"
Kosmos-2I 63S1 | 1MS 1,Launch Successful,Soviet Space Program,Kosmos-2I 63S1,1MS 1,04/06/1962 12:15 p.m.,"Mayak-2 | Kapustin Yar, Russian Federation"
Atlas Agena B | Midas 5,Launch Successful,United States Air Force,Atlas Agena B,Midas 5,04/09/1962 10:04 a.m.,"Space Launch Complex 3E | Vandenberg SFB, CA, USA"
Thor DM-21 Agena-B | KH-4 2,Launch Successful,United States Air Force,Thor DM-21 Agena-B,KH-4 2,04/17/1962 7:53 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Atlas Agena B | Ranger 4,Launch Successful,United States Air Force,Atlas Agena B,Ranger 4,04/23/1962 3:50 p.m.,"Launch Complex 12 | Cape Canaveral, FL, USA"
Kosmos-2I 63S1 | Sputnik 13,Launch Successful,Soviet Space Program,Kosmos-2I 63S1,Sputnik 13,04/23/1962 11 p.m.,"Mayak-2 | Kapustin Yar, Russian Federation"
Saturn I | Saturn SA-2,Launch Successful,National Aeronautics and Space Administration,Saturn I,Saturn SA-2,04/25/1962 9 a.m.,"Launch Complex 34 | Cape Canaveral, FL, USA"
Vostok | Zenit-2 2,Launch Successful,Soviet Space Program,Vostok,Zenit-2 2,04/26/1962 5:02 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Scout X-2 | SOLRAD 4B,Launch Failure,US Navy,Scout X-2,SOLRAD 4B,04/26/1962 5:49 a.m.,"Space Launch Complex 5 | Vandenberg SFB, CA, USA"
Thor Delta | Ariel 1,Launch Successful,United States Air Force,Thor Delta,Ariel 1,04/26/1962 1 p.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Atlas Agena B | Samos-E6 1,Launch Successful,United States Air Force,Atlas Agena B,Samos-E6 1,04/26/1962 1:56 p.m.,"Space Launch Complex 3W | Vandenberg SFB, CA, USA"
Thor DM-21 Agena-B | KH-4 3,Launch Successful,United States Air Force,Thor DM-21 Agena-B,KH-4 3,04/28/1962 7:30 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Trailblazer 2 | Trailblazer IIb,Launch Successful,National Aeronautics and Space Administration,Trailblazer 2,Trailblazer IIb,05/06/1962 1:41 a.m.,"Unknown Pad | Wallops Island, Virginia, USA"
Thor DM-21 Ablestar | ANNA 1A,Launch Failure,United States Air Force,Thor DM-21 Ablestar,ANNA 1A,05/10/1962 8:06 a.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA"
Thor DM-21 Agena-B | KH-5 5,Launch Successful,United States Air Force,Thor DM-21 Agena-B,KH-5 5,05/15/1962 3:36 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Scout X-2M | DSAP-1 F1,Launch Failure,United States Air Force,Scout X-2M,DSAP-1 F1,05/23/1962 8 p.m.,"Space Launch Complex 5 | Vandenberg SFB, CA, USA"
Atlas LV-3B | Mercury-Atlas 7,Launch Successful,National Aeronautics and Space Administration,Atlas LV-3B,Mercury-Atlas 7,05/24/1962 8:45 a.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA"
Kosmos-2I 63S1 | Sputnik 15,Launch Successful,Soviet Space Program,Kosmos-2I 63S1,Sputnik 15,05/27/1962 11 p.m.,"Mayak-2 | Kapustin Yar, Russian Federation"
Thor DM-21 Agena-B | KH-4 4,Launch Successful,United States Air Force,Thor DM-21 Agena-B,KH-4 4,05/29/1962 9 p.m.,"Space Launch Complex 2E | Vandenberg SFB, CA, USA"
Vostok 8A92 | Zenit-2 3,Launch Failure,Soviet Space Program,Vostok 8A92,Zenit-2 3,06/01/1962 5:38 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Thor DM-21 Agena-B | KH-4 5,Launch Successful,United States Air Force,Thor DM-21 Agena-B,KH-4 5,06/01/1962 8:31 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Atlas Agena B | Samos-E6 2,Launch Successful,United States Air Force,Atlas Agena B,Samos-E6 2,06/17/1962 2:14 p.m.,"Space Launch Complex 3W | Vandenberg SFB, CA, USA"
Thor DM-21 Agena-B | P-102 Group 2-D 1,Launch Successful,United States Air Force,Thor DM-21 Agena-B,P-102 Group 2-D 1,06/18/1962 4:20 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Thor Delta | Tiros 5,Launch Successful,United States Air Force,Thor Delta,Tiros 5,06/19/1962 8:19 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Thor DM-21 Agena-B | KH-4 6,Launch Successful,United States Air Force,Thor DM-21 Agena-B,KH-4 6,06/22/1962 8:30 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Thor Agena D | KH-4 7,Launch Successful,United States Air Force,Thor Agena D,KH-4 7,06/27/1962 9:09 p.m.,"Space Launch Complex 2E | Vandenberg SFB, CA, USA"
Kosmos-2I 63S1 | DS-P1 1,Launch Successful,Soviet Space Program,Kosmos-2I 63S1,DS-P1 1,06/30/1962 noon,"Mayak-2 | Kapustin Yar, Russian Federation"
Thor Delta | Telstar 1,Launch Successful,United States Air Force,Thor Delta,Telstar 1,07/10/1962 4:35 a.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA"
X-15 | Flight 62,Launch Successful,United States Air Force,North American X-15,Flight 62,07/17/1962 1:30 p.m.,Edwards Air Force Base | Air launch to Suborbital flight
Atlas Agena B | Samos-E6 3,Launch Successful,United States Air Force,Atlas Agena B,Samos-E6 3,07/18/1962 4:51 p.m.,"Space Launch Complex 3W | Vandenberg SFB, CA, USA"
Thor DM-21 Agena-B | KH-4 8,Launch Successful,United States Air Force,Thor DM-21 Agena-B,KH-4 8,07/20/1962 8:56 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Atlas Agena B | Mariner 1,Launch Failure,United States Air Force,Atlas Agena B,Mariner 1,07/22/1962 5:21 a.m.,"Launch Complex 12 | Cape Canaveral, FL, USA"
Thor DM-21 Agena-B | KH-4 9,Launch Successful,United States Air Force,Thor DM-21 Agena-B,KH-4 9,07/27/1962 8:30 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Vostok 8A92 | Zenit-2 4,Launch Successful,Soviet Space Program,Vostok 8A92,Zenit-2 4,07/28/1962 5:18 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Thor Agena D | KH-4 10,Launch Successful,United States Air Force,Thor Agena D,KH-4 10,08/01/1962 8:17 p.m.,"Space Launch Complex 2E | Vandenberg SFB, CA, USA"
Atlas Agena B | Samos-E6 4,Launch Successful,United States Air Force,Atlas Agena B,Samos-E6 4,08/05/1962 1:58 p.m.,"Space Launch Complex 3W | Vandenberg SFB, CA, USA"
Vostok-K | Vostok 3,Launch Successful,Soviet Space Program,Vostok,Vostok 3,08/11/1962 4:24 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Vostok-K | Vostok 4,Launch Successful,Soviet Space Program,Vostok,Vostok 4,08/12/1962 4:02 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Kosmos-2I 63S1 | Sputnik 18,Launch Successful,Soviet Space Program,Kosmos-2I 63S1,Sputnik 18,08/18/1962 11 a.m.,"Mayak-2 | Kapustin Yar, Russian Federation"
Scout X-2M | DSAP-1 F2,Launch Successful,United States Air Force,Scout X-2M,DSAP-1 F2,08/23/1962 7:33 a.m.,"Space Launch Complex 5 | Vandenberg SFB, CA, USA"
Molniya 8K78 | Venera 2a,Launch Failure,Soviet Space Program,Molniya 8K78,Venera 2a,08/24/1962 10:18 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Atlas Agena B | Mariner 2,Launch Successful,United States Air Force,Atlas Agena B,Mariner 2,08/27/1962 2:53 a.m.,"Launch Complex 12 | Cape Canaveral, FL, USA"
Thor Agena D | KH-4 11 & RM 3,Launch Successful,United States Air Force,Thor Agena D,KH-4 11 & RM 3,08/28/1962 9 p.m.,"Space Launch Complex 2W | Vandenberg SFB, CA, USA"
Scout X-3A | Reentry-2,Launch Successful,National Aeronautics and Space Administration,Scout X-3A,Reentry-2,08/31/1962 12:25 p.m.,"Launch Area 3 | Wallops Island, Virginia, USA"
Molniya 8K78 | Venera 2b,Launch Failure,Soviet Space Program,Molniya 8K78,Venera 2b,08/31/1962 10:12 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Thor DM-21 Agena-B | KH-5 6,Launch Successful,United States Air Force,Thor DM-21 Agena-B,KH-5 6,09/01/1962 4:39 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Molniya 8K78 | Venera 2c,Launch Failure,Soviet Space Program,Molniya 8K78,Venera 2c,09/11/1962 8:59 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Thor DM-21 Agena-B | KH-4 12,Launch Successful,United States Air Force,Thor DM-21 Agena-B,KH-4 12,09/17/1962 7:46 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Thor Delta | Tiros 6,Launch Successful,United States Air Force,Thor Delta,Tiros 6,09/18/1962 4:53 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Vostok 8A92 | Zenit-2 5,Launch Successful,Soviet Space Program,Vostok 8A92,Zenit-2 5,09/27/1962 5:39 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Thor DM-21 Agena-B | Alouette 1,Launch Successful,United States Air Force,Thor DM-21 Agena-B,Alouette 1,09/29/1962 2:05 a.m.,"Space Launch Complex 2E | Vandenberg SFB, CA, USA"
Thor Agena D | KH-4 13 & RM 4,Launch Successful,United States Air Force,Thor Agena D,KH-4 13 & RM 4,09/29/1962 7:34 p.m.,"Space Launch Complex 2W | Vandenberg SFB, CA, USA"
Thor Delta A | Explorer 14,Launch Successful,United States Air Force,Thor Delta A,Explorer 14,10/02/1962 6:11 p.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA"
Atlas LV-3B | Mercury-Atlas 8,Launch Successful,National Aeronautics and Space Administration,Atlas LV-3B,Mercury-Atlas 8,10/03/1962 8:15 a.m.,"Space Launch Complex 14 | Cape Canaveral, FL, USA"
Thor DM-21 Agena-B | KH-5 7,Launch Successful,United States Air Force,Thor DM-21 Agena-B,KH-5 7,10/09/1962 2:35 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Vostok 8A92 | Zenit-2 6,Launch Successful,Soviet Space Program,Vostok 8A92,Zenit-2 6,10/17/1962 5 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Atlas Agena B | Ranger 5,Launch Successful,United States Air Force,Atlas Agena B,Ranger 5,10/18/1962 12:59 p.m.,"Launch Complex 12 | Cape Canaveral, FL, USA"
Kosmos-2I 63S1 | DS-A1 1,Launch Successful,Soviet Space Program,Kosmos-2I 63S1,DS-A1 1,10/20/1962 midnight,"Mayak-2 | Kapustin Yar, Russian Federation"
Molniya 8K78 | Mars 1c,Launch Failure,Soviet Space Program,Molniya 8K78,Mars 1c,10/24/1962 1:55 p.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Kosmos-2I 63S1 | 1MS 2,Launch Failure,Soviet Space Program,Kosmos-2I 63S1,1MS 2,10/25/1962 3 a.m.,"Mayak-2 | Kapustin Yar, Russian Federation"
Thor Agena D | Star-Rad,Launch Successful,United States Air Force,Thor Agena D,Star-Rad,10/26/1962 12:14 p.m.,"Space Launch Complex 2W | Vandenberg SFB, CA, USA"
Thor Delta A | Explorer 15,Launch Successful,United States Air Force,Thor Delta A,Explorer 15,10/27/1962 7:15 p.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA"
Thor DM-21 Ablestar | ANNA 1B,Launch Successful,United States Air Force,Thor DM-21 Ablestar,ANNA 1B,10/31/1962 3:08 a.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Molniya 8K78 | Mars 1,Launch Successful,Soviet Space Program,Molniya 8K78,Mars 1,11/01/1962 11:14 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Molniya 8K78 | Mars 2a,Launch Failure,Soviet Space Program,Molniya 8K78,Mars 2a,11/04/1962 10:35 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Thor DM-21 Agena-B | KH-4 14,Launch Successful,United States Air Force,Thor DM-21 Agena-B,KH-4 14,11/05/1962 5:04 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Atlas Agena B | Samos-E6 5,Launch Successful,United States Air Force,Atlas Agena B,Samos-E6 5,11/11/1962 3:17 p.m.,"Space Launch Complex 3W | Vandenberg SFB, CA, USA"
Saturn I | Saturn SA-3,Launch Successful,National Aeronautics and Space Administration,Saturn I,Saturn SA-3,11/16/1962 12:45 p.m.,"Launch Complex 34 | Cape Canaveral, FL, USA"
Thor DM-21 Agena-B | KH-4 15,Launch Successful,United States Air Force,Thor DM-21 Agena-B,KH-4 15,11/24/1962 5 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Thor Agena D | KH-4 16,Launch Successful,United States Air Force,Thor Agena D,KH-4 16,12/04/1962 4:30 p.m.,"Space Launch Complex 2W | Vandenberg SFB, CA, USA"
Thor Agena D | Poppy 3A & 3B,Launch Successful,United States Air Force,Thor Agena D,Poppy 3A & 3B,12/12/1962 11:07 p.m.,"Space Launch Complex 2E | Vandenberg SFB, CA, USA"
Thor Delta B | Relay 1,Launch Successful,United States Air Force,Thor Delta B,Relay 1,12/13/1962 6:30 p.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Thor Agena D | KH-4 17,Launch Successful,United States Air Force,Thor Agena D,KH-4 17,12/14/1962 4:26 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Scout X-3 | Explorer 16,Launch Successful,National Aeronautics and Space Administration,Scout X-3,Explorer 16,12/16/1962 9:33 a.m.,"Launch Area 3 | Wallops Island, Virginia, USA"
Atlas Agena B | Midas 6,Launch Failure,United States Air Force,Atlas Agena B,Midas 6,12/17/1962 3:36 p.m.,"Space Launch Complex 3E | Vandenberg SFB, CA, USA"
Scout X-3 | Transit-5A 1,Launch Successful,United States Air Force,Scout X-3,Transit-5A 1,12/18/1962 8:25 p.m.,"Space Launch Complex 5 | Vandenberg SFB, CA, USA"
Vostok 8A92 | Zenit-2 7,Launch Successful,Soviet Space Program,Vostok 8A92,Zenit-2 7,12/22/1962 4:23 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Molniya 8K78 | Luna-4c,Launch Failure,Soviet Space Program,Molniya 8K78,Luna-4c,01/04/1963 3:49 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Thor Agena D | KH-4 18,Launch Successful,United States Air Force,Thor Agena D,KH-4 18,01/07/1963 4:09 p.m.,"Space Launch Complex 2E | Vandenberg SFB, CA, USA"
Thor DM-21 Agena-B | P-698BK Group 1-D 1,Launch Successful,United States Air Force,Thor DM-21 Agena-B,P-698BK Group 1-D 1,01/16/1963 4:59 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
X-15 | Flight 77,Launch Successful,United States Air Force,North American X-15,Flight 77,01/17/1963 11:59 a.m.,Edwards Air Force Base | Air launch to Suborbital flight
Molniya 8K78 | Luna-4d,Launch Failure,Soviet Space Program,Molniya 8K78,Luna-4d,02/03/1963 4:29 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Thor Delta B | Syncom 1,Launch Successful,United States Air Force,Thor Delta B,Syncom 1,02/14/1963 12:35 a.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA"
Scout X-3M | DSAP-1 F3,Launch Successful,United States Air Force,Scout X-3M,DSAP-1 F3,02/19/1963 11:52 a.m.,"Space Launch Complex 5 | Vandenberg SFB, CA, USA"
Thor SLV-2A Agena D | KH-4 19,Launch Failure,United States Air Force,Thor SLV-2A Agena D,KH-4 19,02/28/1963 4:48 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Thor SLV-2A Agena D | KH-6 1,Launch Failure,United States Air Force,Thor SLV-2A Agena D,KH-6 1,03/18/1963 4:13 p.m.,"Space Launch Complex 1W | Vandenberg SFB, CA, USA"
Vostok 8A92 | Zenit-2 8,Launch Successful,Soviet Space Program,Vostok 8A92,Zenit-2 8,03/21/1963 3:30 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Saturn I | Saturn SA-4,Launch Successful,National Aeronautics and Space Administration,Saturn I,Saturn SA-4,03/28/1963 3:11 p.m.,"Launch Complex 34 | Cape Canaveral, FL, USA"
Thor Agena D | KH-4 20,Launch Successful,United States Air Force,Thor Agena D,KH-4 20,04/01/1963 6:01 p.m.,"Space Launch Complex 1E | Vandenberg SFB, CA, USA"
Molniya 8K78 | Luna-4,Launch Successful,Soviet Space Program,Molniya 8K78,Luna-4,04/02/1963 3:16 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Thor Delta B | Explorer 17,Launch Successful,United States Air Force,Thor Delta B,Explorer 17,04/02/1963 9 p.m.,"Space Launch Complex 17A | Cape Canaveral, FL, USA"
Scout X-3 | Transit-5A 2,Launch Failure,United States Air Force,Scout X-3,Transit-5A 2,04/04/1963 10:01 p.m.,"Space Launch Complex 5 | Vandenberg SFB, CA, USA"
Kosmos-2I 63S1 | DS-P1 2,Launch Failure,Soviet Space Program,Kosmos-2I 63S1,DS-P1 2,04/05/1963 10:01 p.m.,"Mayak-2 | Kapustin Yar, Russian Federation"
Kosmos-2I 63S1 | Omega 1,Launch Successful,Soviet Space Program,Kosmos-2I 63S1,Omega 1,04/13/1963 6 a.m.,"Mayak-2 | Kapustin Yar, Russian Federation"
Vostok 8A92 | Zenit-2 9,Launch Successful,Soviet Space Program,Vostok 8A92,Zenit-2 9,04/22/1963 3:30 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Scout X-2M | DSAP-1 F4,Launch Failure,United States Air Force,Scout X-2M,DSAP-1 F4,04/25/1963 7 p.m.,"Space Launch Complex 5 | Vandenberg SFB, CA, USA"
Thor Agena D | KH-5 8,Launch Failure,United States Air Force,Thor Agena D,KH-5 8,04/26/1963 3:12 p.m.,"Space Launch Complex 2E | Vandenberg SFB, CA, USA"
Vostok 8A92 | Zenit-2 10,Launch Successful,Soviet Space Program,Vostok 8A92,Zenit-2 10,04/28/1963 4:49 a.m.,"1/5 | Baikonur Cosmodrome, Republic of Kazakhstan"
Thor Delta B | Telstar 2,Launch Successful,United States Air Force,Thor Delta B,Telstar 2,05/07/1963 7:38 a.m.,"Space Launch Complex 17B | Cape Canaveral, FL, USA"
Atlas Agena B | Midas 7,Launch Successful,United States Air Force,Atlas Agena B,Midas 7,05/09/1963 4:06 p.m.,"Space Launch Complex 3E | Vandenberg SFB, CA, USA"
